Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6a05552b6c017ffe64d02db4,69b44d2c2968accec2c537ef,APPROVED,Not Applicable,2026-05-14T04:53:05.887000Z,2026-05-14T05:12:31.293000Z,2026-05-28T15:46:59.031000Z,2026-05-14T05:12:31.633725Z,1166.0,69b44d2c2968accec2c537ef,524,23,Male,Black,United States,United States,United States,English,Yes,Part-Time
6a05552f156ef96474c877de,661124ea6eb49e5f25077328,APPROVED,Not Applicable,2026-05-14T04:53:11.786000Z,2026-05-14T05:12:37.454000Z,2026-05-28T15:46:59.582000Z,2026-05-14T05:12:37.834070Z,1166.0,NOCODE,4808,43,Male,White,United States,United States,United States,English,Yes,Full-Time
6a0555382a7474c208401295,69dffd8c18f1668dbb08765c,APPROVED,Not Applicable,2026-05-14T04:53:20.586000Z,2026-05-14T05:06:34.376000Z,2026-05-28T15:47:00.293000Z,2026-05-14T05:06:34.710297Z,794.0,NOCODE,38,37,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6a05554f3e07f4d3cd097055,69c1256faa88d6296c98d745,APPROVED,Not Applicable,2026-05-14T04:53:39.346000Z,2026-05-14T05:08:05.515000Z,2026-05-28T15:47:02.662000Z,2026-05-14T05:08:05.991970Z,867.0,XXXXXXX,362,40,Female,Black,United States,United States,United States,English,No,Part-Time
6a05559b7e0475672916ab7a,69efa84191a926194883712a,APPROVED,Not Applicable,2026-05-14T04:54:55.679000Z,2026-05-14T05:12:56.749000Z,2026-05-28T15:47:03.479000Z,2026-05-14T05:12:57.100478Z,1082.0,NOCODE,379,25,Female,White,United States,United States,United States,English,No,Full-Time
6a0556a1ed69323d5d8aac6a,64d5323f567c88a7df95b47a,APPROVED,Not Applicable,2026-05-14T04:59:16.848000Z,2026-05-14T05:07:06.428000Z,2026-05-28T15:47:04.346000Z,2026-05-14T05:07:06.811264Z,470.0,NOCODE,4992,56,Male,Asian,Korea,United States,United States,English,No,Full-Time
6a0556d9235b0bb53c9b7c98,69ff6ed896a903aa1062aeb3,APPROVED,Not Applicable,2026-05-14T05:00:17.968000Z,2026-05-14T05:32:49.375000Z,2026-05-28T15:47:05.341000Z,2026-05-14T05:32:49.701969Z,1952.0,XXXXXXX,48,23,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
6a05570e5eb59d328c75b02a,63106ea4e8fe9c6cd32bf358,APPROVED,Not Applicable,2026-05-14T05:01:02.255000Z,2026-05-14T05:09:57.526000Z,2026-05-28T15:47:06.322000Z,2026-05-14T05:09:57.909816Z,536.0,NOCODE,5054,30,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6a055711ed69323d5d8aac70,69961b1e92ce0d6ed65b9c30,APPROVED,Not Applicable,2026-05-14T05:01:15.779000Z,2026-05-14T05:19:34.511000Z,2026-05-28T15:47:06.684000Z,2026-05-14T05:19:34.927604Z,1099.0,XXXXXXX,1216,52,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
6a05574f2888fea8d5978b37,698bd543f284cf07463f2eac,APPROVED,Not Applicable,2026-05-14T05:07:33.887000Z,2026-05-14T05:13:24.125000Z,2026-05-28T15:47:07.110000Z,2026-05-14T05:13:24.475959Z,351.0,NOCODE,697,19,Prefer not to say,White,United States,United States,United States,English,Yes,Unemployed (and job seeking)
